age,gender,height_cm,weight_kg,discipline,session_type,duration_minutes,intensity,distance_m,effort_count,target_calories
20,Female,166.5,87.7,High Jump,Competition,32,Medium,1736,18,2879
31,Male,192.8,103.4,1500m Run,Recovery,150,Medium,10644,15,4655
18,Male,156.7,71.0,100m Sprint,Recovery,38,Medium,13426,4,2736
22,Male,195.6,66.2,400m Sprint,Training,100,High,1918,9,4009
31,Female,175.8,45.7,1500m Run,Training,142,Medium,700,4,2761
17,Female,183.7,98.7,High Jump,Competition,87,Low,4046,16,3276
31,Female,184.7,97.1,400m Sprint,Recovery,38,Medium,2073,15,3030
23,Male,195.3,51.8,Long Jump,Competition,83,Low,4661,2,2548
16,Male,183.7,82.5,1500m Run,Recovery,120,High,11945,14,4476
39,Female,182.6,75.2,100m Sprint,Competition,85,Medium,394,3,3317
27,Female,158.0,52.7,Discus,Training,85,Low,10148,4,1924
34,Male,178.3,108.7,Long Jump,Competition,94,High,3048,1,5190
16,Female,161.8,59.0,Triple Jump,Competition,64,High,3452,9,3132
34,Female,188.2,49.4,100m Sprint,Training,106,Low,522,17,2106
25,Male,178.0,83.7,200m Sprint,Recovery,86,Medium,9754,14,3491
40,Female,185.6,93.0,800m Run,Recovery,22,High,11101,17,3247
36,Male,156.9,47.1,Hammer,Training,43,Low,13394,1,1836
29,Male,158.8,87.8,200m Sprint,Competition,107,Medium,11041,10,4126
25,Male,187.2,79.6,Javelin,Competition,36,High,8741,16,3668
37,Male,158.2,51.7,Shot Put,Competition,59,Low,1468,19,2054
17,Male,158.2,56.2,Discus,Recovery,25,High,6230,3,2752
17,Male,155.5,81.9,Triple Jump,Competition,138,High,8116,12,4770
40,Male,198.0,64.3,Triple Jump,Recovery,139,Low,9024,3,2821
26,Female,188.2,106.0,800m Run,Competition,54,High,12674,15,4542
38,Male,170.9,98.2,1500m Run,Training,132,Low,13250,17,3416
19,Male,168.3,108.9,800m Run,Training,48,Medium,6811,18,3895
34,Female,170.7,61.9,Shot Put,Recovery,26,Low,1421,7,2003
21,Female,189.9,108.0,200m Sprint,Recovery,72,Medium,7987,19,3872
21,Female,184.8,73.0,Javelin,Training,42,High,285,7,3146
27,Male,163.3,67.6,Triple Jump,Training,116,Low,2745,5,2617
23,Female,162.8,48.3,200m Sprint,Competition,95,Low,11957,8,2049
39,Male,159.4,48.4,100m Sprint,Training,29,Low,7108,16,1882
35,Male,184.7,90.0,Discus,Recovery,136,Low,4464,16,3042
27,Male,189.4,74.8,400m Sprint,Training,43,Medium,14990,19,3141
26,Male,166.9,59.7,Shot Put,Recovery,58,Medium,1445,15,2633
27,Female,155.9,84.9,Hammer,Recovery,85,High,5837,7,3247
38,Female,158.7,61.4,400m Sprint,Competition,25,High,14989,5,2447
24,Male,198.6,82.5,Shot Put,Competition,40,High,1466,11,3961
15,Male,168.3,68.3,High Jump,Competition,92,High,9968,10,3942
39,Male,189.6,98.5,Discus,Competition,93,Low,13831,9,3209
22,Female,183.1,98.3,100m Sprint,Training,55,Medium,7167,1,3436
36,Male,172.2,76.0,Discus,Competition,150,Medium,11847,20,3989
30,Male,164.3,67.8,1500m Run,Training,63,Medium,9106,1,2834
27,Female,160.5,68.6,Shot Put,Competition,110,Medium,8479,8,3089
17,Female,182.7,97.4,Hammer,Competition,79,High,12382,3,4342
17,Male,189.9,66.3,400m Sprint,Recovery,112,Low,10280,2,2900
38,Female,184.0,58.6,Shot Put,Training,102,Medium,4426,4,2784
19,Female,178.9,50.5,1500m Run,Recovery,102,Low,5932,19,2115
40,Male,156.9,75.3,Shot Put,Competition,96,Low,9996,11,2430
25,Female,198.6,76.3,Discus,Training,45,Low,1178,5,2588
21,Male,190.9,99.7,Long Jump,Competition,40,Low,2551,10,3154
35,Female,168.2,59.4,Shot Put,Recovery,139,Medium,4370,8,2676
38,Male,199.1,69.8,High Jump,Training,149,Medium,9780,13,3878
24,Male,182.1,97.5,High Jump,Recovery,127,Medium,6322,5,3912
24,Male,181.2,98.5,Triple Jump,Competition,46,High,10148,12,4252
34,Female,188.7,70.0,High Jump,Competition,90,Medium,9967,13,3197
16,Male,191.5,74.8,Hammer,Competition,69,High,14472,8,4118
17,Female,184.5,64.7,Shot Put,Training,114,High,4862,15,3586
22,Male,160.8,105.6,Javelin,Recovery,42,High,9179,13,3979
25,Male,170.2,52.7,Shot Put,Recovery,100,Medium,5855,1,2706
27,Female,196.8,105.7,Long Jump,Competition,39,Medium,1203,6,3622
21,Male,165.1,89.5,High Jump,Recovery,143,Medium,7349,11,3736
27,Male,171.7,79.6,200m Sprint,Training,32,High,11522,13,3502
16,Female,174.4,47.1,Shot Put,Competition,22,High,6386,20,2312
20,Male,174.8,75.9,Hammer,Competition,150,Low,1119,1,3045
23,Male,182.6,71.5,100m Sprint,Competition,148,High,8388,11,5140
34,Male,197.4,55.5,100m Sprint,Training,109,High,3975,11,3890
39,Male,165.8,87.7,400m Sprint,Competition,54,Medium,8717,8,3307
16,Female,160.5,108.1,Hammer,Competition,33,Low,12919,3,2835
32,Female,163.9,81.5,Long Jump,Competition,69,Low,9602,19,2534
30,Male,194.9,91.5,1500m Run,Competition,97,Low,12695,12,3461
39,Female,184.1,49.4,200m Sprint,Recovery,22,Medium,1292,6,2079
26,Male,167.9,72.1,Shot Put,Competition,59,Low,9386,8,2461
21,Female,191.7,52.6,Discus,Training,70,Low,10140,5,2170
21,Male,193.8,84.8,800m Run,Competition,20,Medium,3655,10,3392
31,Male,193.1,106.0,800m Run,Competition,123,Low,4786,16,3719
27,Male,196.4,88.0,1500m Run,Recovery,136,High,2217,12,4979
25,Male,166.4,50.0,Triple Jump,Competition,135,High,12446,17,3616
20,Male,189.0,68.1,Discus,Recovery,71,High,11772,6,3719
37,Male,175.7,80.8,800m Run,Training,139,High,6590,9,4921
28,Female,192.9,71.2,1500m Run,Recovery,105,High,13977,10,3676
20,Male,187.8,99.2,Hammer,Competition,65,High,14225,20,4521
20,Female,189.9,98.0,800m Run,Training,95,High,1017,14,4838
16,Male,184.5,84.8,Long Jump,Competition,29,High,11345,14,3855
36,Female,163.0,69.3,Hammer,Recovery,80,High,5176,17,3025
34,Female,179.5,61.6,400m Sprint,Training,37,Medium,3590,16,2367
39,Female,199.3,51.9,Triple Jump,Training,105,Medium,12399,4,2779
29,Male,197.2,68.1,Long Jump,Recovery,147,High,12261,2,4289
31,Male,156.9,71.9,Discus,Recovery,123,Medium,8239,16,3038
22,Female,162.4,88.9,1500m Run,Training,120,Medium,11855,1,3531
19,Male,160.9,87.8,200m Sprint,Training,25,High,14198,3,3439
31,Female,187.7,49.6,Discus,Recovery,104,High,12663,11,2754
34,Male,191.8,70.7,Discus,Competition,70,Medium,9019,16,3078
15,Female,164.6,56.8,High Jump,Training,55,High,6176,18,2906
36,Female,177.8,55.2,200m Sprint,Recovery,90,High,6647,15,3121
32,Male,192.8,98.8,100m Sprint,Competition,119,High,4722,9,5903
29,Female,188.0,47.7,High Jump,Training,44,High,6015,12,2430
19,Male,179.4,72.2,1500m Run,Training,63,Medium,5122,18,3231
21,Female,181.6,55.9,100m Sprint,Recovery,33,Low,7683,5,2019
32,Female,177.9,102.2,800m Run,Competition,48,Medium,14179,8,3288
20,Male,168.4,81.2,Hammer,Training,93,Low,2089,3,2901
36,Male,180.4,60.0,800m Run,Competition,69,Low,2056,2,2425
35,Male,186.0,77.7,Discus,Competition,24,Low,9010,19,2460
19,Female,194.3,92.5,High Jump,Training,129,Medium,12944,8,3915
33,Male,183.6,107.3,Shot Put,Competition,141,Medium,12176,2,4756
24,Female,189.3,59.3,200m Sprint,Training,107,Medium,3680,19,3058
29,Female,162.2,102.6,Hammer,Competition,76,Medium,10003,1,3525
24,Male,175.8,105.7,100m Sprint,Training,45,Medium,4885,13,3837
30,Male,155.4,104.6,200m Sprint,Recovery,25,Low,13747,20,2733
26,Female,166.1,86.3,High Jump,Training,79,Medium,3114,17,3178
32,Female,187.7,85.9,Discus,Training,119,Low,13442,3,2860
37,Male,199.6,71.2,Long Jump,Training,31,Medium,7383,9,2831
15,Male,159.5,93.9,800m Run,Competition,94,Medium,1629,5,3893
30,Male,173.1,79.5,100m Sprint,Recovery,22,High,1543,6,3337
36,Male,191.0,89.0,100m Sprint,Competition,82,Low,14933,4,3242
20,Male,164.2,72.8,1500m Run,Competition,38,Medium,7512,17,2952
17,Female,180.0,92.5,100m Sprint,Training,37,Medium,11771,16,3148
16,Female,188.0,98.6,Hammer,Competition,99,Medium,5769,16,4191
16,Female,182.7,54.5,High Jump,Training,92,High,1904,11,3148
27,Female,163.5,99.1,Javelin,Recovery,150,Low,1436,2,2903
23,Male,171.0,80.1,100m Sprint,Competition,145,Medium,5031,17,4206
30,Male,190.3,99.9,100m Sprint,Competition,91,Medium,3317,15,4050
19,Male,179.9,73.0,200m Sprint,Competition,57,Medium,11712,18,3167
37,Female,155.2,69.6,Javelin,Training,87,High,11251,10,3113
35,Female,189.2,104.5,Hammer,Training,99,Medium,4116,6,3903
21,Male,156.6,61.3,Discus,Competition,61,Low,9190,16,2217
27,Male,188.6,99.9,400m Sprint,Competition,83,Low,9623,5,3633
34,Female,164.1,76.5,Javelin,Recovery,97,Low,4552,12,2417
38,Female,198.1,78.4,100m Sprint,Recovery,146,Low,5563,6,3018
40,Male,171.6,65.1,Shot Put,Recovery,124,Medium,6123,14,2961
27,Male,169.7,82.2,Discus,Recovery,95,High,3061,16,3797
40,Female,161.7,66.1,Triple Jump,Recovery,149,High,8089,7,3531
21,Male,168.8,47.6,1500m Run,Training,141,High,8456,2,3596
24,Male,194.4,62.7,Javelin,Recovery,63,Medium,3731,6,2876
29,Male,199.8,45.4,200m Sprint,Recovery,121,High,6327,9,3282
35,Female,171.6,108.6,1500m Run,Competition,81,Low,10466,7,3120
20,Female,175.2,107.8,Long Jump,Training,20,Medium,12067,2,3188
19,Female,187.5,70.7,100m Sprint,Recovery,36,High,3317,19,3125
37,Female,194.9,92.3,Javelin,Recovery,35,Low,2046,8,2591
16,Female,181.7,67.5,800m Run,Recovery,28,Low,3144,11,2411
35,Female,172.6,88.6,Shot Put,Competition,78,Medium,3221,4,3145
29,Female,173.6,97.4,200m Sprint,Competition,138,Medium,11332,16,4532
40,Male,186.3,106.5,1500m Run,Competition,138,High,5064,18,6000
30,Male,155.1,71.0,100m Sprint,Recovery,60,High,13092,13,3176
33,Male,182.9,95.9,800m Run,Competition,85,High,9445,5,4981
23,Male,171.0,62.3,800m Run,Recovery,94,Medium,722,2,2806
36,Male,190.7,109.4,Long Jump,Training,30,High,13383,11,4016
40,Male,159.2,46.7,Discus,Recovery,27,High,13289,1,2310
33,Male,181.5,84.2,Shot Put,Competition,118,Low,7775,13,3255
21,Female,176.6,87.9,400m Sprint,Training,91,Low,7564,5,3021
18,Female,183.9,89.7,Shot Put,Recovery,132,Low,8275,18,3086
17,Male,157.9,52.8,Long Jump,Training,126,High,4835,14,3245
38,Male,181.1,106.0,High Jump,Training,53,Medium,11562,13,3584
34,Female,180.3,56.8,Hammer,Training,76,Low,3819,7,2056
25,Male,180.2,85.5,Discus,Recovery,136,Medium,3364,8,3744
15,Male,182.2,59.5,200m Sprint,Competition,139,High,9949,18,4142
20,Female,185.4,65.0,Javelin,Recovery,90,High,6089,7,3400
40,Male,191.2,80.5,Discus,Competition,59,Low,4318,20,2612
25,Female,167.1,72.1,Long Jump,Recovery,122,Medium,6936,17,3078
15,Male,192.1,55.4,Long Jump,Recovery,143,Low,2780,16,2743
35,Female,177.4,56.1,200m Sprint,Recovery,142,High,11479,11,3188
21,Female,158.5,72.2,200m Sprint,Competition,119,Medium,7398,19,3472
20,Female,157.6,94.2,200m Sprint,Recovery,77,Low,2452,1,2627
28,Male,170.0,103.4,Discus,Training,128,High,5288,8,5165
16,Female,190.3,50.5,Hammer,Recovery,140,Low,8520,1,2270
18,Male,186.8,70.6,100m Sprint,Training,111,Medium,425,9,3649
25,Male,190.5,51.5,1500m Run,Competition,69,Medium,13865,19,2892
29,Male,178.3,46.1,Triple Jump,Competition,124,Medium,8961,9,2866
32,Male,174.8,88.0,200m Sprint,Recovery,136,Medium,13507,10,3761
15,Female,161.6,84.2,1500m Run,Recovery,46,Medium,3975,11,2788
17,Female,169.8,55.6,Hammer,Recovery,51,Low,8799,1,1972
17,Male,174.5,60.2,Triple Jump,Training,20,Low,10044,20,2404
21,Male,159.0,46.5,Discus,Competition,36,Low,6669,8,1939
15,Female,164.9,99.3,1500m Run,Training,103,Low,10864,20,3080
39,Male,181.9,108.4,200m Sprint,Training,64,High,2124,12,4871
25,Female,188.1,53.8,400m Sprint,Recovery,85,High,14334,1,3005
20,Male,199.9,60.0,Long Jump,Recovery,51,Low,1300,10,2482
34,Male,197.0,101.4,Javelin,Training,64,High,5015,4,4358
17,Female,183.9,105.2,Javelin,Training,28,High,8657,15,3629
33,Male,174.0,72.3,1500m Run,Recovery,49,Medium,1964,19,2915
16,Female,183.6,48.3,Javelin,Recovery,103,Low,5567,6,2007
32,Male,190.4,47.6,800m Run,Training,79,High,10137,5,3364
26,Male,160.3,82.3,800m Run,Recovery,20,High,5279,5,3129
24,Male,173.4,70.5,1500m Run,Recovery,24,Low,10731,18,2355
19,Female,192.8,46.9,200m Sprint,Training,82,Medium,2360,3,2628
23,Male,172.3,82.9,Shot Put,Training,84,Low,13942,2,2904
16,Male,180.7,45.7,200m Sprint,Competition,97,Medium,2039,4,2870
16,Male,181.4,96.2,Discus,Training,133,High,1184,18,5268
20,Male,163.3,64.9,200m Sprint,Recovery,44,Medium,14643,9,2776
24,Female,171.3,47.6,Discus,Training,62,Medium,3934,19,2278
32,Female,170.1,83.2,Shot Put,Training,76,Low,11409,10,2428
26,Male,156.2,70.8,400m Sprint,Training,91,High,5794,15,3684
18,Female,156.1,108.3,Discus,Competition,46,Low,14424,1,2647
36,Male,192.4,80.4,High Jump,Competition,147,Low,8172,11,3359
35,Male,167.3,62.9,800m Run,Recovery,125,High,10974,14,3656
31,Male,178.3,91.1,Long Jump,Competition,90,Low,777,10,3032
29,Female,168.4,62.6,800m Run,Training,86,Low,3379,19,2401
20,Female,197.3,103.8,Discus,Competition,109,Medium,2418,16,4668
30,Female,166.7,69.4,High Jump,Training,23,Low,14786,8,2056
31,Female,174.3,80.7,100m Sprint,Competition,125,High,4077,2,4466
17,Female,194.3,48.3,400m Sprint,Competition,98,Low,12454,7,2362
24,Female,192.9,72.7,400m Sprint,Competition,115,Medium,2439,19,3543
19,Female,163.4,99.1,100m Sprint,Training,112,Low,7804,7,3245
28,Female,191.1,97.4,Long Jump,Competition,93,Low,13023,15,3181
40,Female,175.6,59.6,Javelin,Training,145,Low,14826,8,2338
35,Male,176.7,59.7,Shot Put,Training,35,Medium,13212,14,2717
27,Female,161.0,98.1,Triple Jump,Recovery,135,High,5269,1,4325
40,Female,158.6,105.5,Javelin,Competition,37,High,5587,13,3454
20,Female,187.8,51.2,High Jump,Recovery,35,Medium,1989,3,2410
26,Female,177.3,74.3,Discus,Recovery,149,Medium,7868,6,3201
40,Female,174.7,66.9,Triple Jump,Training,75,Low,9258,19,2333
22,Female,187.8,101.6,Long Jump,Competition,98,High,944,15,5101
19,Female,189.4,50.4,Shot Put,Training,122,Medium,8220,4,2797
29,Female,162.2,58.7,400m Sprint,Training,47,High,1897,3,2547
30,Female,182.5,93.9,Discus,Competition,24,Low,5751,4,2460
15,Female,161.1,48.3,Discus,Training,125,Medium,14160,5,2505
30,Female,188.8,77.0,Shot Put,Competition,41,High,5150,18,3360
19,Male,184.6,73.7,800m Run,Competition,136,High,1697,10,5107
17,Male,198.0,66.7,High Jump,Training,119,Low,14463,8,2965
34,Female,158.1,70.6,Shot Put,Training,32,Medium,11006,12,2275
29,Female,157.6,79.4,200m Sprint,Recovery,84,High,11557,3,3360
27,Male,167.7,55.5,200m Sprint,Training,105,Low,10680,18,2416
38,Female,166.8,82.2,Shot Put,Competition,83,High,13699,8,3818
30,Male,166.1,97.4,Hammer,Recovery,51,Low,5885,1,2883
37,Male,195.8,94.4,400m Sprint,Competition,99,High,1665,14,4988
25,Male,166.2,55.0,Shot Put,Recovery,70,High,12811,13,2983
35,Male,167.2,54.7,1500m Run,Training,98,Low,9762,12,2253
16,Male,189.2,62.4,Long Jump,Training,125,Medium,9925,3,3416
36,Female,175.2,68.5,200m Sprint,Training,82,Low,8951,18,2426
20,Male,190.0,71.5,Triple Jump,Competition,95,Medium,10349,13,3565
40,Female,157.9,89.2,Javelin,Recovery,79,High,9543,15,3432
40,Female,176.9,48.7,Shot Put,Competition,84,High,11668,10,2806
20,Male,156.5,47.3,200m Sprint,Recovery,136,Low,9460,1,2181
28,Male,157.8,70.5,Long Jump,Training,100,Low,1785,6,2588
39,Female,195.8,90.3,Long Jump,Competition,124,Medium,12141,9,4063
25,Male,161.3,57.6,Triple Jump,Training,147,Medium,5948,10,3049
22,Male,179.0,86.7,Discus,Competition,90,Medium,14498,15,3821
22,Female,173.5,61.9,Hammer,Training,105,Low,2607,9,2288
15,Female,170.6,102.6,1500m Run,Competition,90,High,8590,14,4738
35,Male,195.5,103.2,Shot Put,Competition,65,Low,2630,11,3368
21,Female,156.0,64.3,100m Sprint,Recovery,66,High,10638,7,2812
20,Male,184.9,59.9,Shot Put,Training,98,Low,7660,2,2702
35,Male,198.4,71.7,Discus,Recovery,149,Low,9861,14,3007
22,Male,180.2,60.6,High Jump,Recovery,146,Medium,238,6,3173
33,Female,197.2,88.7,800m Run,Training,128,High,3536,5,5146
36,Female,157.4,98.7,400m Sprint,Competition,138,Low,13891,5,3202
35,Female,173.8,88.8,Discus,Recovery,120,Low,3861,19,2700
38,Female,166.7,98.6,Javelin,Training,25,High,11295,19,3290
34,Female,187.9,70.8,Long Jump,Competition,145,Low,9338,6,2983
22,Male,199.2,55.2,Hammer,Recovery,122,High,9749,10,3737
40,Male,166.5,93.0,100m Sprint,Recovery,56,Medium,11930,14,3202
28,Male,184.4,68.4,400m Sprint,Recovery,56,Medium,10349,17,2982
32,Male,163.9,88.6,200m Sprint,Competition,27,High,13582,3,3302
39,Female,180.4,62.6,Javelin,Recovery,96,Medium,11643,1,2692
30,Male,175.9,50.3,Shot Put,Competition,59,High,8491,10,3057
23,Female,198.7,109.5,400m Sprint,Recovery,126,Low,11890,3,3554
29,Male,182.4,55.2,200m Sprint,Training,111,Low,12245,5,2597
40,Female,170.7,109.2,800m Run,Recovery,37,High,7899,19,3387
24,Female,160.1,108.5,200m Sprint,Training,76,Low,7145,10,2933
36,Male,161.8,96.6,100m Sprint,Training,102,Medium,5861,16,4156
30,Male,165.1,87.9,Long Jump,Training,51,Low,13051,1,2676
18,Male,166.3,82.6,Discus,Competition,44,Low,248,6,2735
34,Male,193.3,101.3,Triple Jump,Training,52,High,10760,9,4240
27,Female,180.3,63.8,Discus,Recovery,107,Medium,12321,5,2748
36,Male,178.6,75.4,Discus,Competition,123,Low,4323,14,3071
19,Male,160.2,85.3,200m Sprint,Training,53,Low,12872,10,2714
36,Female,193.7,71.7,Shot Put,Competition,121,High,7101,2,4153
21,Male,187.5,72.8,400m Sprint,Competition,146,High,2860,5,5073
37,Male,158.0,66.5,Triple Jump,Competition,88,Medium,723,1,2980
23,Male,186.9,81.7,Hammer,Recovery,59,Low,14919,10,2801
22,Male,179.5,100.3,Triple Jump,Training,99,High,569,9,4679
30,Male,158.7,58.1,400m Sprint,Competition,50,High,8411,3,3039
20,Female,175.6,105.7,400m Sprint,Competition,135,High,9586,15,5787
30,Male,176.8,89.8,Hammer,Competition,82,Medium,2834,4,3880
20,Male,162.5,98.5,Long Jump,Training,67,High,7928,13,4178
28,Male,197.6,81.2,100m Sprint,Competition,106,Medium,6671,6,4011
35,Male,193.2,95.7,800m Run,Competition,67,Medium,2122,20,4202
15,Male,185.1,46.1,100m Sprint,Recovery,80,Low,13929,17,2363
39,Female,175.8,98.2,400m Sprint,Training,97,Low,12423,5,2918
23,Male,173.5,47.6,Shot Put,Recovery,37,Medium,4000,15,2392
39,Female,184.3,102.8,1500m Run,Training,47,Low,14409,8,2726
38,Female,179.5,109.5,Hammer,Training,99,Low,12541,5,3204
27,Male,157.8,64.1,1500m Run,Training,35,High,3089,13,2885
40,Male,178.1,58.7,Javelin,Recovery,96,Low,14242,1,2438
33,Male,191.3,94.7,800m Run,Recovery,45,Medium,7165,1,3489
31,Male,175.7,61.4,400m Sprint,Recovery,47,Low,7210,7,2328
25,Female,157.3,101.3,1500m Run,Recovery,124,High,49,5,4649
22,Male,190.4,51.7,Javelin,Competition,96,Medium,514,14,3121
37,Male,164.1,53.2,800m Run,Competition,28,Low,10983,15,1962
19,Male,166.6,108.6,Triple Jump,Competition,70,Medium,10970,17,4047
24,Male,162.4,88.8,800m Run,Training,95,Low,10810,18,2981
21,Male,169.9,100.0,Javelin,Competition,141,High,10029,7,5932
24,Male,189.1,66.1,Hammer,Training,51,Low,4671,18,2391
18,Female,178.4,89.0,Triple Jump,Recovery,76,Medium,7749,19,3195
23,Female,164.2,83.6,Long Jump,Training,73,Medium,1165,20,3092
40,Male,194.5,84.2,Hammer,Training,135,Medium,13190,7,4031
28,Male,194.6,89.4,Javelin,Competition,81,Low,10441,8,3178
16,Male,194.2,82.4,1500m Run,Recovery,103,Low,14542,13,3119
39,Female,165.7,72.9,800m Run,Recovery,75,Low,414,18,2199
23,Male,175.3,62.9,800m Run,Competition,42,High,10460,11,3293
35,Female,199.3,95.0,Hammer,Recovery,36,High,1104,9,3621
15,Male,189.7,59.7,800m Run,Recovery,97,High,4858,1,3876
37,Male,156.2,90.0,Javelin,Recovery,41,Medium,12850,8,3059
24,Male,157.9,60.2,Shot Put,Competition,127,Medium,3356,12,3147
24,Male,175.9,85.6,800m Run,Recovery,36,Medium,2416,2,3076
34,Female,195.9,93.6,Hammer,Training,34,Medium,5611,15,3111
39,Female,179.2,59.2,Shot Put,Training,133,Medium,10126,18,2769
36,Male,177.4,48.9,Discus,Recovery,67,Low,5465,17,2155
17,Male,159.7,53.5,Long Jump,Competition,132,Medium,8395,15,3064
20,Female,184.6,84.4,Discus,Competition,116,Low,7192,20,3038
40,Female,192.0,100.2,High Jump,Competition,110,High,5672,20,5044
20,Female,172.1,47.9,Hammer,Recovery,35,High,8260,9,2359
35,Female,189.9,92.7,Discus,Recovery,117,High,8707,3,4115
16,Male,198.4,67.2,400m Sprint,Training,130,High,3563,20,4562
40,Female,164.2,76.1,Triple Jump,Competition,20,High,6383,19,2751
40,Male,178.5,105.4,400m Sprint,Training,60,Medium,12648,18,3789
32,Female,167.9,66.6,100m Sprint,Training,67,Medium,9656,20,2540
37,Female,190.7,75.2,Discus,Competition,127,Medium,13342,8,3410
16,Female,181.0,45.9,Hammer,Recovery,122,High,14210,1,2899
26,Female,183.6,50.3,1500m Run,Recovery,147,High,9844,15,3266
36,Female,190.9,61.8,200m Sprint,Training,49,Low,8898,19,2258
19,Male,172.8,46.8,Discus,Training,64,Medium,9817,10,2560
34,Male,196.2,86.0,Long Jump,Training,99,High,6833,12,4541
21,Female,179.0,72.7,Discus,Training,58,High,4752,6,3283
38,Female,162.1,80.6,Shot Put,Competition,64,High,8123,13,3357
30,Male,186.3,56.4,100m Sprint,Training,97,Low,3785,4,2574
34,Female,190.7,64.2,800m Run,Training,100,High,9537,13,3626
15,Female,169.3,88.1,100m Sprint,Recovery,112,Low,8535,17,2743
15,Male,193.6,107.7,100m Sprint,Recovery,51,Low,11978,1,3313
31,Female,195.8,48.3,Triple Jump,Recovery,43,Medium,8727,5,2274
15,Female,167.5,102.9,Javelin,Competition,135,High,8546,17,5385
35,Male,199.3,82.5,200m Sprint,Competition,32,Low,11734,18,2932
34,Male,161.3,81.7,100m Sprint,Recovery,98,High,5023,7,3708
27,Male,164.1,77.5,Javelin,Recovery,75,Medium,982,16,3126
23,Female,163.3,49.5,Triple Jump,Training,72,Medium,14305,8,2328
29,Male,195.2,50.8,800m Run,Training,87,Low,14440,12,2560
17,Male,184.4,84.1,400m Sprint,Competition,53,Medium,1345,14,3492
28,Male,161.8,67.2,Hammer,Competition,47,Medium,5691,19,2625
37,Male,174.8,104.6,800m Run,Training,69,Medium,6002,11,3899
25,Male,182.7,71.4,Javelin,Recovery,149,High,11201,12,4298
38,Male,158.8,54.3,1500m Run,Training,130,High,526,13,3395
36,Female,194.7,91.5,100m Sprint,Competition,113,Low,6647,8,3133
26,Female,191.2,64.1,Javelin,Competition,66,Low,7252,1,2430
27,Male,177.7,79.2,100m Sprint,Training,45,Medium,930,9,3115
40,Male,198.5,90.4,400m Sprint,Training,103,Medium,10948,2,4314
27,Male,173.8,103.5,Long Jump,Training,125,Low,2282,14,3583
15,Female,199.3,96.5,100m Sprint,Competition,111,Medium,1946,13,4340
38,Female,185.1,89.0,Javelin,Recovery,139,Low,12119,16,2809
24,Female,183.6,89.2,Hammer,Training,94,High,13574,2,4155
17,Female,162.5,106.5,200m Sprint,Competition,141,Medium,10733,4,4765
38,Female,194.7,64.2,Hammer,Competition,60,Medium,10108,12,2783
18,Female,174.2,45.1,High Jump,Competition,71,Medium,3360,16,2384
30,Female,162.3,62.7,100m Sprint,Training,101,High,9785,10,3237
22,Female,155.6,59.2,High Jump,Training,93,High,8112,3,3140
30,Female,180.2,88.0,800m Run,Recovery,85,Medium,2925,4,3254
31,Male,178.7,86.2,Discus,Competition,43,Low,3625,6,2669
33,Male,187.4,83.6,Long Jump,Training,47,High,5469,5,3723
36,Male,195.1,46.1,Triple Jump,Competition,136,Medium,1223,18,3151
29,Male,158.6,92.4,Shot Put,Competition,133,Medium,10151,3,4116
30,Female,187.9,66.0,Long Jump,Recovery,80,High,7110,10,3249
29,Female,163.4,88.2,Hammer,Training,88,Low,9157,11,2544
39,Male,193.6,81.2,Javelin,Training,133,Medium,13251,19,3926
16,Female,191.9,67.3,Shot Put,Competition,94,Low,4992,14,2716
25,Male,179.3,53.7,800m Run,Competition,78,Low,13646,11,2290
15,Female,187.0,51.1,Long Jump,Recovery,149,High,11870,4,3308
29,Male,169.1,99.0,Triple Jump,Recovery,34,Medium,12504,6,3281
40,Female,176.2,104.7,Shot Put,Recovery,124,Medium,8814,17,3754
33,Female,192.0,87.2,400m Sprint,Recovery,117,Low,12640,19,2822
18,Male,175.7,51.7,200m Sprint,Recovery,54,High,4787,13,3024
25,Female,171.1,71.1,Long Jump,Recovery,50,High,6818,10,2873
19,Male,177.2,92.4,800m Run,Competition,146,High,4726,11,5671
17,Male,192.3,95.7,100m Sprint,Recovery,38,Low,2372,6,2971
27,Male,170.1,52.7,Triple Jump,Competition,43,Low,11140,2,2257
24,Male,162.8,45.0,Shot Put,Competition,103,Medium,3299,1,2472
25,Female,187.0,91.3,Shot Put,Training,111,High,9360,11,4316
32,Female,192.2,68.2,200m Sprint,Competition,137,Low,6451,16,2857
16,Female,159.5,61.5,Shot Put,Competition,66,High,12941,3,3007
21,Male,165.8,45.8,High Jump,Recovery,122,Low,14620,5,2138
23,Female,161.4,80.1,1500m Run,Competition,140,Medium,8583,15,3818
24,Male,170.7,100.3,High Jump,Recovery,113,High,3809,15,4499
32,Female,175.3,107.2,Shot Put,Recovery,61,Low,2407,4,2825
37,Female,188.7,81.8,Triple Jump,Recovery,130,High,4864,4,4070
21,Female,184.3,78.4,Long Jump,Training,48,Low,13084,8,2614
21,Male,182.9,50.5,800m Run,Recovery,143,Low,5027,7,2632
17,Female,170.9,80.7,100m Sprint,Competition,36,Low,14258,17,2433
26,Female,192.9,69.7,Long Jump,Recovery,33,High,4260,15,2923
21,Male,176.2,84.5,400m Sprint,Recovery,69,Low,4828,5,2863
31,Female,199.1,70.3,Long Jump,Recovery,76,Medium,8772,13,2938
40,Male,183.5,60.6,Long Jump,Training,123,High,9012,4,3785
